Ticker,Date,Open,High,Low,Close,Volume,Quarter
COST,"May 2, 2019",241.759995,242.889999,240.419998,242.690002,1237600,2019 Q2
COST,"May 3, 2019",243.270004,244.880005,242.720001,244.619995,905900,2019 Q2
COST,"May 6, 2019",242.850006,244.830002,242.059998,244.229996,1194900,2019 Q2
COST,"May 7, 2019",241.720001,242.740005,238.220001,240.179993,1775200,2019 Q2
COST,"May 8, 2019",239.559998,243.050003,238.190002,241.339996,1611900,2019 Q2
COST,"May 9, 2019",240.660004,244.059998,240.160004,243.470001,1919300,2019 Q2
COST,"May 10, 2019",242.940002,248.550003,240.029999,247.020004,2036500,2019 Q2
COST,"May 13, 2019",244.119995,244.929993,240.669998,241.919998,1962800,2019 Q2
COST,"May 14, 2019",242.289993,245.089996,241.809998,242.729996,1635100,2019 Q2
COST,"May 15, 2019",242.110001,245.399994,241.229996,244.669998,1194800,2019 Q2
COST,"May 16, 2019",245.630005,249.729996,245.210007,247.440002,1800600,2019 Q2
COST,"May 17, 2019",245.880005,250.050003,245.589996,248.350006,1672000,2019 Q2
COST,"May 20, 2019",247.149994,249.940002,247.149994,248.899994,1600500,2019 Q2
COST,"May 21, 2019",249.110001,250.830002,248.100006,249.929993,1504200,2019 Q2
COST,"May 22, 2019",251.009995,251.009995,249.139999,249.509995,1242300,2019 Q2
COST,"May 23, 2019",248.630005,249.919998,247.179993,248.529999,1822800,2019 Q2
COST,"May 24, 2019",249.110001,249.559998,246.770004,247.300003,1340200,2019 Q2
COST,"May 28, 2019",248.580002,250.199997,246.139999,246.309998,3164100,2019 Q2
COST,"May 29, 2019",244.130005,244.770004,238.910004,240.690002,2594900,2019 Q2
COST,"May 30, 2019",242.149994,243.580002,240.75,241.539993,2030300,2019 Q2
COST,"May 31, 2019",238.979996,240.660004,233.050003,239.580002,4058100,2019 Q2
COST,"June 3, 2019",239.779999,241.539993,238.080002,241.070007,2512500,2019 Q2
COST,"June 4, 2019",243,245.820007,242.5,245.610001,1761500,2019 Q2
COST,"June 5, 2019",246.100006,248.759995,245.020004,247.960007,1825500,2019 Q2
COST,"June 6, 2019",248,251.940002,247.740005,251.210007,1487800,2019 Q2
COST,"June 7, 2019",251.160004,256.600006,251.020004,256.01001,2270200,2019 Q2
COST,"June 10, 2019",256.399994,258.829987,256.109985,256.850006,1839500,2019 Q2
COST,"June 11, 2019",258.910004,259.619995,256.209991,257.109985,1613500,2019 Q2
